courseCode,title,cycle,section,credits,session,grading,teacher,language,grade,numReviews
HUM-125(a),Global issues: health A,propedeutics,SHS,2,Summer,During the semester,"Chiapperino, Preissmann",FR,0.0,0
HUM-125(b),Global issues: health B,propedeutics,SHS,2,Summer,During the semester,"Chiapperino, David, Preissmann",FR,0.0,0
HUM-124(a),Global issues: mobility A,propedeutics,SHS,2,Summer,During the semester,"Chenal, Gallay",FR,0.0,0
HUM-124(b),Global issues: mobility B,propedeutics,SHS,2,Summer,During the semester,"Geroliminis, Kaufmann",EN,0.0,0
CH-120,Advanced general chemistry II,propedeutics,CGC,6,Summer,Written,"Patiny, Waser",FR,0.0,0
PHYS-106(i),General physics : thermodynamics,propedeutics,PH,6,Summer,Written,Osterwalder,FR,0.0,0
CH-110,Advanced general chemistry I,propedeutics,CGC,9,Winter,Written,"Corminboeuf, Moser, Waser",FR,0.0,0
PHYS-101(k),General physics : mechanics,propedeutics,PH,6,Winter,Written,Ansermet,FR,0.0,0
CH-108(a),Chemistry Laboratory Work I,propedeutics,CGC,2,Winter,During the semester,Chauvin,FR,0.0,0
CH-109(a),Chemistry Laboratory Work II,propedeutics,CGC,5,Summer,During the semester,Chauvin,FR,0.0,0
CS-119(k),"Information,  Computation,  Communication",propedeutics,IN,6,Summer,Written,"Lévêque, Stojilovic",FR,0.0,0
MATH-105(b),Advanced analysis II,propedeutics,MA,8,Summer,Written,Wittwer,FR,0.0,0
MATH-115(b),Advanced linear algebra II,propedeutics,MA,6,Summer,Written,Troyanov,FR,0.0,0
PHYS-105,Advanced physics II,propedeutics,PH,7,Summer,Written,Ansermet,FR,0.0,0
MATH-100(b),Advanced analysis I,propedeutics,MA,8,Winter,Written,Genoud,FR,0.0,0
MATH-110(b),Advanced linear algebra I,propedeutics,MA,7,Winter,Written,Ruf,FR,0.0,0
PHYS-100,Advanced physics I,propedeutics,PH,8,Winter,Written,Ricci,FR,0.0,0
CS-119(d),"Information,  Computation,  Communication",propedeutics,IN,6,Winter,During the semester,Chappelier,FR,0.0,0
CS-112(g),Object oriented programming,propedeutics,IN,4,Summer,During the semester,Chappelier,FR,0.0,0
PHYS-117,Physics lab,propedeutics,PH,4,Summer,Oral,"Mari, Tkalcec Vâju",FR,0.0,0
MATH-105(a),Advanced analysis II,propedeutics,MA,8,Summer,Written,Buffoni,FR,0.0,0
MATH-115(a),Advanced linear algebra II,propedeutics,MA,7,Summer,Written,Eisenbrand,FR,0.0,0
PHYS-108,General physics : fluids and electromagnetism,propedeutics,PH,5,Summer,Written,Theiler,FR,0.0,0
MATH-100(a),Advanced analysis I,propedeutics,MA,8,Winter,Written,Hongler,FR,0.0,0
MATH-110(a),Advanced linear algebra I,propedeutics,MA,7,Winter,Written,Michel,FR,0.0,0
PHYS-101(f),General physics : mechanics,propedeutics,PH,6,Winter,Written,Blanc,FR,0.0,0
MATH-113,Algebraic structures,propedeutics,MA,4,Winter,Written,Patakfalvi,FR,0.0,0
MATH-260(a),Discrete mathematics,propedeutics,MA,4,Summer,Written,Viazovska,EN,0.0,0
CH-160(a),Advanced general chemistry,propedeutics,CGC,6,Winter,Written,"Rizzo, Terrettaz, Züttel",FR,0.0,0
ENV-103,Biology,propedeutics,SIE,6,Summer,Written,"Maillard, Rossi",FR,0.0,0
ENV-140,Fundamentals of geomatics,propedeutics,SIE,2,Summer,During the semester,Gilliéron,FR,0.0,0
ENV-167,Introduction to environmental engineering,propedeutics,SIE,4,Winter,During the semester,"Barry, Holliger, Nenes",EN,0.0,0
MATH-131,Probabilities and statistics ,propedeutics,MA,4,Summer,Written,Koch,FR,0.0,0
MATH-106(b),Analysis II,propedeutics,MA,6,Summer,Written,Mountford,FR,0.0,0
PHYS-106(b),General physics : thermodynamics,propedeutics,PH,6,Summer,Written,Grandjean,FR,0.0,0
EE-100,Electrical engineering science & technology,propedeutics,EL,6,Winter,Written,"Allenbach, Koukab, Martin, Zoia",FR,0.0,0
PHYS-101(b),General physics : mechanics,propedeutics,PH,6,Winter,Written,Mari,FR,0.0,0
PHYS-101(e),General physics : mechanics,propedeutics,PH,6,Winter,Written,Grandjean,FR,0.0,0
EE-111,Circuits and systems,propedeutics,EL,3,Summer,Written,Rachidi-Haeri,FR,0.0,0
CS-119(c),"Information,  Computation,  Communication",propedeutics,IN,6,Winter,During the semester,Boulic,FR,0.0,0
ME-105,Introduction to mechanical design,propedeutics,GM,5,Summer,During the semester,"Lacour, Soubielle",FR,0.0,0
MSE-101(b),Materials: from chemistry to properties,propedeutics,MX,5,Summer,Written,Klok-Lermann,EN,0.0,0
COM-112(a),Project oriented programming,propedeutics,IN,3,Summer,During the semester,Boulic,FR,0.0,0
MATH-106(c),Analysis II,propedeutics,MA,6,Summer,Written,Zuleta Estrugo,FR,0.0,0
MSE-100,Materials structure,propedeutics,MX,6,Summer,Written,"Bourban, Stellacci",FR,0.0,0
EE-105,Electrical engineering science and technology,propedeutics,EL,5,Summer,Written,"Brès, Carrara, Zoia",FR,0.0,0
MICRO-101,Electrotechnics II,propedeutics,EL,2,Summer,Written,"Allenbach, Germano, Perriard",FR,0.0,0
MATH-101(d),Analysis I,propedeutics,MA,6,Winter,Written,Wittwer,FR,0.0,0
MICRO-100,Electrotechnics I,propedeutics,MT,3,Winter,Written,"Germano, Perriard, Zoia",FR,0.0,0
MATH-111(d),Linear Algebra,propedeutics,MA,6,Winter,Written,Testerman,FR,0.0,0
MICRO-110,Design of experiments,propedeutics,MT,3,Summer,Written,Subramanian,EN,0.0,0
ME-106,Mechanical construction I,propedeutics,MT,3,Winter,During the semester,"Lacour, Soubielle",FR,0.0,0
ME-107,Mechanical construction II,propedeutics,MT,3,Summer,During the semester,"Lacour, Soubielle",FR,0.0,0
PHYS-106(d),General physics : thermodynamics,propedeutics,PH,6,Summer,Written,Bréchet,FR,0.0,0
MATH-101(c),Analysis I,propedeutics,MA,6,Winter,Written,Friedli,FR,0.0,0
PHYS-101(d),General physics : mechanics,propedeutics,PH,6,Winter,Written,Müllhaupt,FR,0.0,0
MATH-111(c),Linear Algebra,propedeutics,MA,6,Winter,Written,Pouchon,FR,0.0,0
EE-106,Electrical engineering science & technology,propedeutics,EL,5,Winter,Written,Zoia,FR,0.0,0
CS-119(a),"Information,  Computation,  Communication",propedeutics,IN,6,Summer,Written,"Lévêque, Stojilovic",FR,0.0,0
ME-104,Introduction to structural mechanics,propedeutics,GM,6,Summer,Written,Nunes Pereira de Almeida Reis,EN,0.0,0
MSE-101(a),Materials:from chemistry to properties,propedeutics,MX,5,Winter,Written,Michaud,FR,0.0,0
ME-101,Mechanical construction I,propedeutics,GM,3,Winter,Written,"Lacour, Soubielle",FR,0.0,0
ME-102,Mechanical construction II,propedeutics,GM,3,Summer,During the semester,"Lacour, Soubielle",FR,0.0,0
PHYS-118,Building physics ,propedeutics,AR,6,Summer,Written,"Scartezzini, Schueler",FR,0.0,0
AR-128,"Building technology I,  II",propedeutics,AR,5,Summer,Written,"Fivet, Zurbrügg",FR,0.0,0
MATH-126,Geometry for architects II,propedeutics,AR,3,Summer,Written,Cache,FR,0.0,0
AR-129,Architectural Tomography,propedeutics,AR,4,Winter,During the semester,"Abenia, Taillieu",FR,0.0,0
AR-114,Digital models,propedeutics,AR,2,Winter,Written,Mignon,FR,0.0,0
MATH-124,Geometry for architects I,propedeutics,AR,3,Winter,Written,Cache,FR,0.0,0
MATH-189,Mathematics ,propedeutics,MA,5,Winter,Written,Burzio,FR,0.0,0
AR-119,Art fundaments,propedeutics,AR,4,Winter,During the semester,"Fröhlich, Födinger",EN,0.0,0
AR-154,Environmental history and theories I,propedeutics,AR,2,Winter,Written,Marot,FR,0.0,0
AR-155,Environmental history and theories II,propedeutics,AR,2,Summer,Written,Marot,FR,0.0,0
AR-113,Graphic figuration
,propedeutics,AR,4,Summer,During the semester,"Braghieri, Soubeyrand",FR,0.0,0
AR-123,"History of architecture I, II",propedeutics,AR,4,Summer,Written,"Gady, Gargiani",FR,0.0,0
AR-101,Studio BA1,propedeutics,AR,,,,"Dietz, Zamarbide Elizondo",FR,0.0,0
AR-102,Studio BA2,propedeutics,AR,14,Summer,During the semester,"Dietz, Zamarbide Elizondo",FR,0.0,0
MATH-101(e),Analysis I,propedeutics,MA,6,Winter,Written,Lachowska,FR,0.0,0
PHYS-101(c),General physics : mechanics,propedeutics,PH,6,Winter,Written,Bréchet,FR,0.0,0
MATH-111(e),Linear Algebra,propedeutics,MA,6,Winter,Written,Boumal,FR,0.0,0
CIVIL-234,Concrete structures,bachelor,GC,5,Winter,During the semester,"Fernández Ruiz, Muttoni",FR,0.0,0
MATH-251(a),Numerical analysis,bachelor,MA,3,Winter,Written,Nobile,FR,0.0,0
CIVIL-308,Rock mechanics,bachelor,GC,5,Winter,During the semester,"Sandrone, Violay",FR,0.0,0
CIVIL-340,Study and analysis of energy systems,bachelor,GC,3,Winter,During the semester,Gnansounou,FR,0.0,0
CIVIL-351,Transportation systems engineering I,bachelor,GC,4,Winter,During the semester,Geroliminis,EN,0.0,0
CIVIL-306,Geotechnical engineering,bachelor,GC,5,Summer,Written,Lecampion,FR,0.0,0
CIVIL-312,Hydraulic structures and schemes ,bachelor,GC,5,Summer,Written,"De Almeida Manso, De Cesare",FR,0.0,0
CIVIL-321,Numerical modelling of solids and structures,bachelor,GC,4,Summer,Written,"Anciaux, Molinari",FR,0.0,0
CIVIL-390,Project in civil engineering,bachelor,GC,6,Summer,During the semester,Profs divers,FR,0.0,0
CIVIL-352,Transportation systems engineering II,bachelor,GC,5,Summer,During the semester,"Christoforou, Cochon de Lapparent",EN,0.0,0
MATH-207(d),Analysis IV,bachelor,MA,4,Summer,Written,Basterrechea,FR,0.0,0
CIVIL-330,Bridge design,bachelor,GC,3,Summer,Oral,"Muttoni, Nussbaumer",FR,0.0,0
CIVIL-331,Dimensioning of Timber structures,bachelor,GC,3,Winter,Written,Natterer,FR,0.0,0
ENG-267,Estimation methods ,bachelor,SIE,4,Winter,Written,Merminod,FR,0.0,0
ENV-342,Geografic information system,bachelor,SIE,5,Summer,Written,"Golay, Soutter",FR,0.0,0
ENV-221,Hydrology for engineers,bachelor,SIE,5,Winter,Written,"Benettin, Rinaldo",EN,0.0,0
CIVIL-307,Numerical representation / BIM,bachelor,GC,3,Summer,During the semester,Domer,FR,0.0,0
ENG-366,"Signals,  instruments and systems",bachelor,SIE,5,Winter,Written,Martinoli,EN,0.0,0
MATH-203(b),Analysis III,bachelor,MA,4,Winter,Written,Colombo,FR,0.0,0
CIVIL-212,Fundamentals of indoor climate,bachelor,GC,2,Winter,During the semester,Licina,EN,0.0,0
MATH-265,Introduction to optimization and operations research,bachelor,GC,3,Winter,Written,Lurkin,EN,0.0,0
MATH-234(a),Probabilities and statistics ,bachelor,MA,3,Winter,Written,Davison,FR,0.0,0
CIVIL-225,Continuum mechanics,bachelor,GC,3,Winter,Written,Molinari,FR,0.0,0
CIVIL-211,Geology,bachelor,GC,4,Winter,During the semester,"Acosta, Baumgartner, Violay",FR,0.0,0
CIVIL-237,Safety and reliability,bachelor,GC,3,Winter,During the semester,Brühwiler,FR,0.0,0
CIVIL-238,Structural mechanics,bachelor,GC,4,Winter,Written,Lignos,EN,0.0,0
CIVIL-235,Design of steel structures,bachelor,GC,5,Summer,Written,Nussbaumer,FR,0.0,0
CIVIL-210,Fluids mechanics,bachelor,GC,5,Summer,Written,Ancey,FR,0.0,0
CIVIL-226,Introduction to machine learning for engineers,bachelor,GC,5,Summer,During the semester,Alahi,EN,0.0,0
CIVIL-203,Soil mechanics and Groundwater seepage ,bachelor,GC,5,Summer,Written,Vulliet,FR,0.0,0
CIVIL-224,Statics II,bachelor,GC,4,Summer,Written,"Lestuzzi, Vurpillot",FR,0.0,0
PENS-220,Carving natural stones,bachelor,AR,4,Summer,During the semester,"Grossiord, Turberg, Violay, Zufferey",FR,0.0,0
PENS-216,"Chantier urbain : perception,  gouvernance,  usages",bachelor,GC,4,Summer,During the semester,"Bierlaire, Gumy, Hajji, Kaufmann, Messer",FR,0.0,0
PENS-212,Constructive second hand,bachelor,AR,4,Summer,During the semester,"Bastien Masse, Fivet, Lambec",FR,0.0,0
PENS-203,Diagnostics ENAC: methodology and measurement tools,bachelor,GC,4,Summer,During the semester,"Bensimon, Burdet, Deront",FR,0.0,0
PENS-219,Hidden rivers,bachelor,SIE,4,Summer,During the semester,"Cogato Lanza, Nguyen, Peter, Viganò, Villaret, Worreth",EN,0.0,0
PENS-224,Human habitat : a study on the Alpine territory
,bachelor,AR,4,Summer,During the semester,"Braghieri, Freiin von Freyberg, Giromini, Graezer Bideau",FR,0.0,0
PENS-217,Living in emergency ,bachelor,AR,4,Summer,During the semester,"Carlevaro, Cauderay, Hosta, Pedrazzini",FR,0.0,0
PENS-201,Making structural logic,bachelor,AR,4,Summer,During the semester,"Baur, Corres Sojo, Fernández Ruiz, Guaita",EN,0.0,0
PENS-221,Making the campus of tomorrow,bachelor,AR,4,Summer,During the semester,"Calafati, Khovalyg, Pietropolli, Rahiminejad, Viganò",EN,0.0,0
PENS-225,Rhonescape,bachelor,AR,4,Summer,During the semester,"Arborino, De Cesare, Perona, Viganò",EN,0.0,0
PENS-211,Terra Epidermis,bachelor,AR,4,Summer,During the semester,"Fernandez Andrino, Laloui, Molinas, Nguyen",FR,0.0,0
PENS-222,The land of a thousand dances,bachelor,AR,4,Summer,During the semester,"Dietz, Fauvel, Gamerro, Lafontaine Carboni, Vacat, Weinand",FR,0.0,0
PENS-308,Argamassa armada,bachelor,AR,4,Summer,During the semester,"Baur, Corres Sojo, Fernández Ruiz, Guaita",EN,0.0,0
PENS-318,Border Forensics,bachelor,AR,4,Summer,During the semester,"Dietz, Heller, Joost, Lerch, Mompean Botias",EN,0.0,0
PENS-317,DRAG(UE): Performativity and the built environment,bachelor,AR,4,Summer,During the semester,"Fonjallaz, Hofstetter, Lafontaine Carboni, Ledermann, Logoz, Makhlouf",FR,0.0,0
PENS-303,From digital data acquisition to change detection,bachelor,SIE,4,Summer,During the semester,"Burdet, Feihl, Merminod, Zufferey",FR,0.0,0
PENS-313,Light-time,bachelor,AR,4,Summer,During the semester,"Aebischer, Aguacil Moreno, Andersen, Paule",FR,0.0,0
PENS-304,Living in Mars,bachelor,GC,4,Summer,During the semester,"Besson, Nussbaumer, Zurbrügg",FR,0.0,0
PENS-306,Mapping urban history,bachelor,AR,4,Summer,During the semester,"Di Lenardo, Kaplan",EN,0.0,0
PENS-316,Poly-Trees: species pathways,bachelor,AR,4,Summer,During the semester,"Blanc, Dietz, Grossiord, Uhlmann, Valdez Juarez, Wyss",FR,0.0,0
PENS-315,SKIL Student Kreativity and Innovation Laboratory,bachelor,AR,4,Summer,During the semester,"Cotture, Leonardi, Meibom",EN,0.0,0
PENS-309,"Urban neighborhoods,  infrastructures and sustainable development",bachelor,GC,4,Summer,During the semester,"Blanchard, Coccolo, Gil, Ludwig, Mauree, Pfister, Scartezzini, Tosolini",FR,0.0,0
PENS-307,Urban planning in the South,bachelor,AR,4,Summer,During the semester,"Chenal, Jonard, Konou, Pessoa Colombo",FR,0.0,0
MATH-351,Advanced numerical analysis,bachelor,MA,5,Winter,Written,Picasso,EN,0.0,0
MATH-328,Algebraic curves,bachelor,MA,5,Summer,Oral,Wyss,EN,0.0,0
MATH-482,Algebraic number theory,bachelor,MA,5,Summer,Written,Lüthi,EN,0.0,0
MATH-323,Algebraic topology,bachelor,MA,5,Summer,Written,Urech,EN,0.0,0
CS-250,Algorithms,bachelor,IN,6,Winter,Written,Svensson,EN,0.0,0
MATH-337,Combinatorial number theory,bachelor,MA,5,Winter,Written,Richter,EN,0.0,0
MATH-335,Coxeter groups,bachelor,MA,5,Summer,Written,Lachowska,EN,0.0,0
MATH-325,Dynamics and bifurcation,bachelor,MA,5,Summer,Written,Vela Arevalo,EN,0.0,0
MATH-421,Evolutional partial differential equations,bachelor,MA,5,Summer,Written,Buffoni,FR,0.0,0
MATH-302,Functional analysis I,bachelor,MA,5,Winter,Written,Buffoni,FR,0.0,0
MATH-317,Galois theory,bachelor,MA,5,Winter,Written,Testerman,FR/EN,0.0,0
PHYS-207(c),General physics : quanta,bachelor,PH,4,Summer,Written,Pasquarello,FR,0.0,0
MATH-360,Graph theory,bachelor,MA,5,Winter,Written,Maffucci,EN,0.0,0
MATH-313,Introduction to analytic number theory,bachelor,MA,5,Winter,Written,"Lin, Raju",EN,0.0,0
MATH-322,Introduction to differentiable manifolds,bachelor,MA,5,Winter,Written,Cossarini,EN,0.0,0
MATH-305,Introduction to partial differential equations,bachelor,MA,5,Winter,Oral,Nobile,EN,0.0,0
MATH-319,Lie Algebras,bachelor,MA,5,Winter,Written,,FR,0.0,0
MATH-341,Linear models,bachelor,MA,5,Winter,Written,Panaretos,EN,0.0,0
MATH-314,Linear representation of finite groups,bachelor,MA,5,Summer,Written,Testerman,FR,0.0,0
MATH-330,Martingales et mouvement brownien,bachelor,MA,5,Summer,Written,Aru,FR,0.0,0
MATH-381,Mathematical logic,bachelor,MA,5,Winter,Written,Duparc,FR,0.0,0
MATH-303,Measure and integration,bachelor,MA,5,Winter,Written,Stubbe,FR,0.0,0
MATH-329,Nonlinear optimization,bachelor,MA,5,Summer,Written,Boumal,EN,0.0,0
MATH-451,Numerical approximation of PDEs,bachelor,MA,5,Summer,Written,Buffa,EN,0.0,0
MATH-301,Ordinary differential equations,bachelor,MA,5,Winter,Written,Krieger,FR,0.0,0
MGT-454,Principles of microeconomics,bachelor,MTE,4,Winter,Written,Mack,EN,0.0,0
MATH-336,Randomization and causation,bachelor,MA,5,Summer,Written,Stensrud,EN,0.0,0
MATH-326,Rational quadratic forms,bachelor,MA,5,Winter,Written,,EN,0.0,0
MATH-334,Representation theory,bachelor,MA,5,Summer,Written,,EN,0.0,0
MATH-311,Rings and modules,bachelor,MA,5,Winter,Written,Patakfalvi,EN,0.0,0
MATH-333,Selected chapters of geometry,bachelor,MA,5,Winter,Written,,FR,0.0,0
MATH-315,Spaces of non-positive curvature and groups,bachelor,MA,5,Winter,Written,Monod,EN,0.0,0
MATH-332,Stochastic processes,bachelor,MA,5,Summer,Written,Mountford,EN,0.0,0
MATH-342,Time series,bachelor,MA,5,Summer,Written,Olhede,EN,0.0,0
MATH-327,Topics in complex analysis,bachelor,MA,5,Winter,Written,Ruf,EN,0.0,0
MATH-397,Mathematics project,bachelor,MA,12,Winter/Summer,During the semester,Profs divers,FR,0.0,0
MATH-200,Analysis III,bachelor,MA,9,Winter,Written,Hongler,FR,0.0,0
MATH-205,Analysis IV,bachelor,MA,7,Summer,Written,Colombo,EN,0.0,0
MATH-213,Differential geometry,bachelor,MA,5,Winter,Written,Troyanov,FR,0.0,0
MATH-261,Discrete optimization,bachelor,MA,5,Summer,Written,Marcus,EN,0.0,0
MATH-211,Group Theory,bachelor,MA,5,Winter,Written,Hess Bellwald,FR,0.0,0
MATH-220,Metric and topological spaces,bachelor,MA,5,Winter,Written,Aru,EN,0.0,0
MATH-250,Numerical analysis,bachelor,MA,5,Summer,Written,Buffa,FR,0.0,0
MATH-230,Probability,bachelor,MA,5,Winter,Written,Aru,EN,0.0,0
MATH-215,Rings and fields,bachelor,MA,5,Summer,Written,Patakfalvi,FR,0.0,0
MATH-240,Statistics,bachelor,MA,5,Summer,Written,Panaretos,FR,0.0,0
MATH-225,Topology,bachelor,MA,5,Summer,Written,Scherer,FR,0.0,0
AR-310,Art and architecture,bachelor,AR,3,Summer,Written,Rosellini,FR,0.0,0
AR-340,Building technology V,bachelor,AR,5,Winter,Written,"Ceriolo, Guibat, Pont Bourdin, Tombesi",FR,0.0,0
AR-341,Building technology VI,bachelor,AR,5,Summer,Oral,"Ceriolo, Rodriguez, Tombesi",FR,0.0,0
AR-329,Constructing the view: built images,bachelor,AR,3,Winter,During the semester,Schaerer,EN,0.0,0
ENG-382,Construction project management ,bachelor,AR,2,Summer,Written,Heller,FR,0.0,0
AR-339,Designing built heritage: Tools and methods,bachelor,AR,3,Summer,During the semester,Marino,FR,0.0,0
AR-367,Environmental histories,bachelor,AR,2,Summer,Written,Marot,FR,0.0,0
AR-327,Introduction to computational architecture,bachelor,AR,3,Summer,During the semester,"Gamerro, Vestartas",EN,0.0,0
AR-325,Societies and architecture: research and methods,bachelor,AR,3,Summer,During the semester,,FR,0.0,0
AR-366,Theory and architectural culture: exercises,bachelor,AR,4,Summer,During the semester,van Gerrewey,FR,0.0,0
AR-365,Theory and architectural culture,bachelor,AR,4,Winter,Written,van Gerrewey,FR,0.0,0
AR-362,Theory of urbanism,bachelor,AR,4,Winter,Oral,Cogato Lanza,FR,0.0,0
AR-301(r),Studio BA5,bachelor,AR,10,Winter,During the semester,"Binning, Perkins",EN,0.0,0
AR-301(p),Studio BA5,bachelor,AR,10,Winter,During the semester,Braghieri,FR,0.0,0
AR-301(o),Studio BA5,bachelor,AR,10,Winter,During the semester,"Fogue Herreros, Gil Lopesino, Palacios Rodriguez",EN,0.0,0
AR-301(j),Studio BA5,bachelor,AR,10,Winter,During the semester,"Ullal, Vannucci",FR/EN,0.0,0
AR-301(l),Studio BA5,bachelor,AR,10,Winter,During the semester,Frechou,FR,0.0,0
AR-301(m),Studio BA5,bachelor,AR,10,Winter,During the semester,"Gay Menzel, Menzel",EN,0.0,0
AR-301(b),Studio BA5,bachelor,AR,10,Winter,During the semester,Graf,FR,0.0,0
AR-301(k),Studio BA5,bachelor,AR,10,Winter,During the semester,Huang,EN,0.0,0
AR-301(t),Studio BA5,bachelor,AR,10,Winter,During the semester,,EN,0.0,0
AR-301(n),Studio BA5,bachelor,AR,10,Winter,During the semester,Lapierre,FR,0.0,0
AR-301(a),Studio BA5,bachelor,AR,10,Winter,During the semester,Viganò,EN,0.0,0
AR-301(q),Studio BA5,bachelor,AR,10,Winter,During the semester,Voser,FR,0.0,0
AR-301(h),Studio BA5,bachelor,AR,10,Winter,During the semester,Weinand,FR/EN,0.0,0
AR-302(r),Studio BA6,bachelor,AR,10,Summer,During the semester,"Binning, Lisogorskaya, Perkins",EN,0.0,0
AR-302(o),Studio BA6,bachelor,AR,10,Summer,During the semester,"Fogue Herreros, Gil Lopesino, Palacios Rodriguez",EN,0.0,0
AR-302(j),Studio BA6,bachelor,AR,10,Summer,During the semester,"Tombesi, Vannucci",FR/EN,0.0,0
AR-302(l),Studio BA6,bachelor,AR,10,Summer,During the semester,Frechou,FR,0.0,0
